symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
LC,2025-09-01 09:10:00,2025-09-01 09:20:00,short,3,320.0,0.84,-1006.2,114249.14,stop_loss,False
PS,2025-09-01 09:10:00,2025-09-01 09:15:00,short,1,480.0,0.42,-509.27,114249.14,stop_loss,False
PS,2025-09-01 13:40:00,2025-09-01 13:45:00,short,3,210.0,0.559,-717.63,112733.67,stop_loss,False
PS,2025-09-02 13:40:00,2025-09-02 13:45:00,short,2,270.0,0.482,-602.44,112016.04,stop_loss,False
PS,2025-09-03 13:40:00,2025-09-03 13:45:00,long,2,135.0,0.242,-332.6,111413.6,stop_loss,False
LC,2025-09-04 09:10:00,2025-09-04 09:30:00,long,4,240.0,0.864,1622.36,111081.0,take_profit,False
LC,2025-09-04 13:40:00,2025-09-04 13:50:00,short,4,240.0,0.852,-1018.88,112703.36,stop_loss,False
PS,2025-09-05 09:10:00,2025-09-05 10:00:00,long,0,1260.0,0.0,0.0,111684.48,take_profit,True
LC,2025-09-08 09:10:00,2025-09-08 09:15:00,long,3,300.0,0.806,-944.7,111684.48,stop_loss,False
PS,2025-09-08 13:40:00,2025-09-08 13:50:00,long,2,420.0,0.759,-906.88,110739.78,stop_loss,False
LC,2025-09-09 09:10:00,2025-09-09 09:15:00,short,3,360.0,0.983,-1124.88,109832.9,stop_loss,False
LC,2025-09-10 09:10:00,2025-09-10 09:15:00,long,4,240.0,0.883,-1016.2,108708.02,stop_loss,False
LC,2025-09-10 13:40:00,2025-09-10 13:45:00,long,6,100.0,0.557,755.22,107691.82,take_profit,False
PS,2025-09-10 13:40:00,2025-09-10 13:50:00,long,0,225.0,0.0,0.0,107691.82,take_profit,True
PS,2025-09-11 13:40:00,2025-09-11 13:45:00,long,2,300.0,0.553,-663.74,108447.04,stop_loss,False
PS,2025-09-12 13:40:00,2025-09-12 13:55:00,long,1,975.0,0.905,-1007.46,107783.3,stop_loss,False
PS,2025-09-15 09:10:00,2025-09-15 09:25:00,short,1,585.0,0.548,-616.79,106775.84,stop_loss,False
PS,2025-09-15 13:40:00,2025-09-15 14:10:00,long,1,705.0,0.664,-737.22,106159.05,stop_loss,False
LC,2025-09-16 09:10:00,2025-09-16 09:30:00,short,3,300.0,0.854,1575.78,105421.83,take_profit,False
PS,2025-09-16 13:40:00,2025-09-16 13:45:00,long,2,210.0,0.393,-485.28,106997.61,stop_loss,False
PS,2025-09-17 09:10:00,2025-09-17 09:50:00,long,2,390.0,0.732,-844.14,106512.33,stop_loss,False
LC,2025-09-17 13:40:00,2025-09-17 14:15:00,long,5,180.0,0.852,-973.6,105668.19,stop_loss,False
LC,2025-09-18 09:10:00,2025-09-18 09:15:00,short,4,260.0,0.993,-1098.6,104694.59,stop_loss,False
LC,2025-09-19 09:10:00,2025-09-19 09:20:00,long,5,120.0,0.579,826.85,103595.99,take_profit,False
PS,2025-09-19 09:10:00,2025-09-19 09:20:00,long,0,435.0,0.0,0.0,103595.99,take_profit,True
PS,2025-09-19 13:40:00,2025-09-19 13:45:00,short,1,525.0,0.503,-556.29,104422.84,stop_loss,False
LC,2025-09-23 09:10:00,2025-09-23 09:55:00,long,4,240.0,0.924,-1018.56,103866.55,stop_loss,False
PS,2025-09-24 09:10:00,2025-09-24 10:50:00,long,1,525.0,0.51,974.7,102847.99,take_profit,False
PS,2025-09-25 09:10:00,2025-09-25 09:15:00,short,2,180.0,0.347,-421.68,103822.69,stop_loss,False
PS,2025-09-25 13:40:00,2025-09-25 13:50:00,long,2,465.0,0.899,1708.42,103401.01,take_profit,False
LC,2025-09-26 09:10:00,2025-09-26 09:50:00,long,3,340.0,0.97,-1063.59,105109.43,stop_loss,False
PS,2025-09-26 09:10:00,2025-09-26 09:45:00,long,0,1605.0,0.0,-0.0,105109.43,stop_loss,True
LC,2025-09-26 13:40:00,2025-09-26 13:45:00,long,5,140.0,0.673,-773.75,104045.84,stop_loss,False
LC,2025-09-29 09:10:00,2025-09-29 10:30:00,long,3,300.0,0.871,1576.17,103272.09,take_profit,False
LC,2025-10-09 09:10:00,2025-10-09 09:30:00,short,2,420.0,0.801,1530.7,104848.26,take_profit,False
PS,2025-10-09 13:40:00,2025-10-09 14:00:00,short,2,405.0,0.761,-869.56,106378.96,stop_loss,False
LC,2025-10-10 09:10:00,2025-10-10 09:35:00,long,5,200.0,0.948,-1073.55,105509.4,stop_loss,False
LC,2025-10-10 13:40:00,2025-10-10 14:55:00,short,3,280.0,0.804,496.29,104435.85,forced_close,False
LC,2025-10-15 09:10:00,2025-10-15 10:05:00,short,4,240.0,0.915,1621.4,104932.14,take_profit,False
PS,2025-10-15 09:10:00,2025-10-15 09:30:00,long,0,840.0,0.0,0.0,104932.14,take_profit,True
LC,2025-10-15 13:40:00,2025-10-15 13:55:00,short,6,100.0,0.563,-687.3,106553.54,stop_loss,False
