symbol,trading_date,session_kind,direction,entry_time,entry_price,stop_price,exit_time,exit_price,exit_reason,multiplier,per_lot_risk,pnl,return_pct
LC,2025-09-16,日盘,short,2025-09-16 09:10:00,73960.0,74260.0,2025-09-16 09:30:00,73420.0,take_profit,1,300.0,525.26,0.5253
PS,2025-09-16,日盘,long,2025-09-16 13:40:00,54440.0,54370.0,2025-09-16 13:45:00,54370.0,stop_loss,3,210.0,-242.64,-0.2426
PS,2025-09-17,日盘,long,2025-09-17 09:10:00,53520.0,53390.0,2025-09-17 09:50:00,53390.0,stop_loss,3,390.0,-422.07,-0.4221
LC,2025-09-17,日盘,long,2025-09-17 13:40:00,73680.0,73500.0,2025-09-17 14:15:00,73500.0,stop_loss,1,180.0,-194.72,-0.1947
LC,2025-09-18,日盘,short,2025-09-18 09:10:00,73140.0,73400.0,2025-09-18 09:15:00,73400.0,stop_loss,1,260.0,-274.65,-0.2747
LC,2025-09-19,日盘,long,2025-09-19 09:10:00,73060.0,72940.0,2025-09-19 09:20:00,73240.0,take_profit,1,120.0,165.37,0.1654
PS,2025-09-19,日盘,long,2025-09-19 09:10:00,53760.0,53615.0,2025-09-19 09:20:00,54035.0,take_profit,3,435.0,792.66,0.7927
PS,2025-09-19,日盘,short,2025-09-19 13:40:00,52060.0,52235.0,2025-09-19 13:45:00,52235.0,stop_loss,3,525.0,-556.29,-0.5563
LC,2025-09-23,日盘,long,2025-09-23 09:10:00,73320.0,73080.0,2025-09-23 09:55:00,73080.0,stop_loss,1,240.0,-254.64,-0.2546
PS,2025-09-24,日盘,long,2025-09-24 09:10:00,50340.0,50165.0,2025-09-24 10:50:00,50675.0,take_profit,3,525.0,974.7,0.9747
PS,2025-09-25,日盘,short,2025-09-25 09:10:00,51375.0,51435.0,2025-09-25 09:15:00,51435.0,stop_loss,3,180.0,-210.84,-0.2108
PS,2025-09-25,日盘,long,2025-09-25 13:40:00,51175.0,51020.0,2025-09-25 13:50:00,51470.0,take_profit,3,465.0,854.21,0.8542
LC,2025-09-26,日盘,long,2025-09-26 09:10:00,72800.0,72460.0,2025-09-26 09:50:00,72460.0,stop_loss,1,340.0,-354.53,-0.3545
PS,2025-09-26,日盘,long,2025-09-26 09:10:00,51565.0,51030.0,2025-09-26 09:45:00,51030.0,stop_loss,3,1605.0,-1635.78,-1.6358
LC,2025-09-26,日盘,long,2025-09-26 13:40:00,73840.0,73700.0,2025-09-26 13:45:00,73700.0,stop_loss,1,140.0,-154.75,-0.1548
LC,2025-09-29,日盘,long,2025-09-29 09:10:00,72780.0,72480.0,2025-09-29 10:30:00,73320.0,take_profit,1,300.0,525.39,0.5254
LC,2025-10-09,日盘,short,2025-10-09 09:10:00,73640.0,74060.0,2025-10-09 09:30:00,72860.0,take_profit,1,420.0,765.35,0.7654
PS,2025-10-09,日盘,short,2025-10-09 13:40:00,49560.0,49695.0,2025-10-09 14:00:00,49695.0,stop_loss,3,405.0,-434.78,-0.4348
LC,2025-10-10,日盘,long,2025-10-10 09:10:00,73660.0,73460.0,2025-10-10 09:35:00,73460.0,stop_loss,1,200.0,-214.71,-0.2147
LC,2025-10-10,日盘,short,2025-10-10 13:40:00,72920.0,73200.0,2025-10-10 14:55:00,72740.0,forced_close,1,280.0,165.43,0.1654
LC,2025-10-15,日盘,short,2025-10-15 09:10:00,73460.0,73700.0,2025-10-15 10:05:00,73040.0,take_profit,1,240.0,405.35,0.4054
PS,2025-10-15,日盘,long,2025-10-15 09:10:00,50310.0,50030.0,2025-10-15 09:30:00,50855.0,take_profit,3,840.0,1604.65,1.6047
LC,2025-10-15,日盘,short,2025-10-15 13:40:00,72680.0,72780.0,2025-10-15 13:55:00,72780.0,stop_loss,1,100.0,-114.55,-0.1145
LC,2025-10-16,日盘,long,2025-10-16 13:40:00,74080.0,73920.0,2025-10-16 13:45:00,73920.0,stop_loss,1,160.0,-174.8,-0.1748
PS,2025-10-17,日盘,short,2025-10-17 09:10:00,51885.0,52125.0,2025-10-17 09:15:00,52125.0,stop_loss,3,720.0,-751.2,-0.7512
LC,2025-10-17,日盘,long,2025-10-17 13:40:00,76180.0,76000.0,2025-10-17 13:55:00,76480.0,take_profit,1,180.0,284.73,0.2847
PS,2025-10-20,日盘,short,2025-10-20 09:10:00,51255.0,51515.0,2025-10-20 09:55:00,51515.0,stop_loss,3,780.0,-810.83,-0.8108
LC,2025-10-20,日盘,short,2025-10-20 13:40:00,75640.0,75720.0,2025-10-20 13:45:00,75720.0,stop_loss,1,80.0,-95.14,-0.0951
PS,2025-10-20,日盘,short,2025-10-20 13:40:00,51160.0,51365.0,2025-10-20 13:45:00,51365.0,stop_loss,3,615.0,-645.76,-0.6458
LC,2025-10-21,日盘,long,2025-10-21 09:10:00,76300.0,76040.0,2025-10-21 09:15:00,76040.0,stop_loss,1,260.0,-275.23,-0.2752
PS,2025-10-21,日盘,long,2025-10-21 09:10:00,50555.0,50415.0,2025-10-21 09:55:00,50820.0,take_profit,3,420.0,764.59,0.7646
LC,2025-10-22,日盘,long,2025-10-22 09:10:00,76560.0,76280.0,2025-10-22 09:20:00,77060.0,take_profit,1,280.0,484.64,0.4846
PS,2025-10-22,日盘,long,2025-10-22 09:10:00,50405.0,50285.0,2025-10-22 09:20:00,50285.0,stop_loss,3,360.0,-390.21,-0.3902
PS,2025-10-22,日盘,short,2025-10-22 13:40:00,50225.0,50385.0,2025-10-22 13:55:00,49920.0,take_profit,3,480.0,884.96,0.885
LC,2025-10-23,日盘,long,2025-10-23 09:10:00,77680.0,77340.0,2025-10-23 10:10:00,78300.0,take_profit,1,340.0,604.4,0.6044
PS,2025-10-24,日盘,long,2025-10-24 13:40:00,52675.0,52595.0,2025-10-24 13:45:00,52595.0,stop_loss,3,240.0,-271.58,-0.2716
LC,2025-10-27,日盘,long,2025-10-27 09:10:00,80180.0,79880.0,2025-10-27 09:30:00,80720.0,take_profit,1,300.0,523.91,0.5239
PS,2025-10-28,日盘,long,2025-10-28 09:10:00,54840.0,54585.0,2025-10-28 09:30:00,54585.0,stop_loss,3,765.0,-797.83,-0.7978
PS,2025-10-28,日盘,short,2025-10-28 13:40:00,54295.0,54405.0,2025-10-28 13:50:00,54405.0,stop_loss,3,330.0,-362.61,-0.3626
PS,2025-10-29,日盘,short,2025-10-29 09:10:00,54385.0,54485.0,2025-10-29 09:15:00,54485.0,stop_loss,3,300.0,-332.66,-0.3327
LC,2025-10-30,日盘,long,2025-10-30 09:10:00,83540.0,82820.0,2025-10-30 11:25:00,84920.0,take_profit,1,720.0,1363.15,1.3632
PS,2025-10-31,日盘,long,2025-10-31 09:10:00,55915.0,55775.0,2025-10-31 09:15:00,55775.0,stop_loss,3,420.0,-453.51,-0.4535
PS,2025-10-31,日盘,short,2025-10-31 13:40:00,55710.0,55955.0,2025-10-31 14:05:00,55955.0,stop_loss,3,735.0,-768.5,-0.7685
PS,2025-11-03,日盘,long,2025-11-03 09:10:00,55930.0,55775.0,2025-11-03 09:25:00,55775.0,stop_loss,3,465.0,-498.51,-0.4985
PS,2025-11-03,日盘,long,2025-11-03 13:40:00,56300.0,56105.0,2025-11-03 13:50:00,56105.0,stop_loss,3,585.0,-618.72,-0.6187
LC,2025-11-04,日盘,short,2025-11-04 09:10:00,81520.0,81780.0,2025-11-04 09:20:00,81780.0,stop_loss,1,260.0,-276.33,-0.2763
PS,2025-11-04,日盘,long,2025-11-04 13:40:00,54565.0,54515.0,2025-11-04 13:45:00,54515.0,stop_loss,3,150.0,-182.72,-0.1827
PS,2025-11-05,日盘,short,2025-11-05 09:10:00,53245.0,53365.0,2025-11-05 09:20:00,53365.0,stop_loss,3,360.0,-391.98,-0.392
PS,2025-11-05,日盘,short,2025-11-05 13:40:00,53630.0,53700.0,2025-11-05 14:00:00,53505.0,take_profit,3,210.0,342.86,0.3429
PS,2025-11-06,日盘,short,2025-11-06 09:10:00,53280.0,53335.0,2025-11-06 09:20:00,53335.0,stop_loss,3,165.0,-196.98,-0.197
LC,2025-11-06,日盘,long,2025-11-06 13:40:00,79520.0,79320.0,2025-11-06 13:45:00,79860.0,take_profit,1,200.0,324.06,0.3241
PS,2025-11-07,日盘,short,2025-11-07 13:40:00,53335.0,53470.0,2025-11-07 14:10:00,53080.0,take_profit,3,405.0,733.08,0.7331
LC,2025-11-10,日盘,short,2025-11-10 13:40:00,85960.0,86380.0,2025-11-10 14:25:00,86380.0,stop_loss,1,420.0,-437.23,-0.4372
PS,2025-11-10,日盘,short,2025-11-10 13:40:00,53115.0,53205.0,2025-11-10 13:45:00,53205.0,stop_loss,3,270.0,-301.9,-0.3019
LC,2025-11-11,日盘,short,2025-11-11 09:10:00,87000.0,87240.0,2025-11-11 09:20:00,86580.0,take_profit,1,240.0,402.64,0.4026
PS,2025-11-12,日盘,long,2025-11-12 13:40:00,51595.0,51420.0,2025-11-12 13:55:00,51930.0,take_profit,3,525.0,973.94,0.9739
LC,2025-11-13,日盘,long,2025-11-13 13:40:00,89620.0,89320.0,2025-11-13 13:50:00,89320.0,stop_loss,1,300.0,-317.89,-0.3179
PS,2025-11-13,日盘,long,2025-11-13 13:40:00,54325.0,54165.0,2025-11-13 13:50:00,54165.0,stop_loss,3,480.0,-512.55,-0.5125
PS,2025-11-14,日盘,short,2025-11-14 09:10:00,54165.0,54415.0,2025-11-14 09:30:00,54415.0,stop_loss,3,750.0,-782.57,-0.7826
LC,2025-11-14,日盘,short,2025-11-14 13:40:00,87240.0,87420.0,2025-11-14 13:45:00,87420.0,stop_loss,1,180.0,-197.47,-0.1975
PS,2025-11-14,日盘,short,2025-11-14 13:40:00,54325.0,54440.0,2025-11-14 14:00:00,54110.0,take_profit,3,345.0,612.47,0.6125
PS,2025-11-17,日盘,short,2025-11-17 09:10:00,53050.0,53330.0,2025-11-17 09:45:00,53330.0,stop_loss,3,840.0,-871.91,-0.8719
PS,2025-11-17,日盘,short,2025-11-17 13:40:00,52700.0,52980.0,2025-11-17 13:55:00,52980.0,stop_loss,3,840.0,-871.7,-0.8717
PS,2025-11-18,日盘,short,2025-11-18 09:10:00,52370.0,52525.0,2025-11-18 09:15:00,52525.0,stop_loss,3,465.0,-496.47,-0.4965
LC,2025-11-18,日盘,long,2025-11-18 13:40:00,94220.0,93720.0,2025-11-18 13:55:00,93720.0,stop_loss,1,500.0,-518.79,-0.5188
PS,2025-11-18,日盘,long,2025-11-18 13:40:00,52235.0,52130.0,2025-11-18 13:55:00,52430.0,take_profit,3,315.0,553.6,0.5536
LC,2025-11-19,日盘,long,2025-11-19 09:10:00,95520.0,94900.0,2025-11-19 09:15:00,96700.0,take_profit,1,620.0,1160.78,1.1608
LC,2025-11-20,日盘,long,2025-11-20 09:10:00,101740.0,101360.0,2025-11-20 09:15:00,101360.0,stop_loss,1,380.0,-400.31,-0.4003
PS,2025-11-20,日盘,short,2025-11-20 13:40:00,52925.0,52985.0,2025-11-20 13:45:00,52820.0,take_profit,3,180.0,283.28,0.2833
LC,2025-11-24,日盘,long,2025-11-24 13:40:00,91620.0,90880.0,2025-11-24 14:15:00,90880.0,stop_loss,1,740.0,-758.25,-0.7582
LC,2025-11-25,日盘,short,2025-11-25 09:10:00,91700.0,92020.0,2025-11-25 09:15:00,92020.0,stop_loss,1,320.0,-338.37,-0.3384
LC,2025-11-25,日盘,long,2025-11-25 13:40:00,93600.0,93320.0,2025-11-25 13:50:00,93320.0,stop_loss,1,280.0,-298.69,-0.2987
PS,2025-11-26,日盘,long,2025-11-26 09:10:00,54960.0,54865.0,2025-11-26 09:15:00,55135.0,take_profit,3,285.0,491.97,0.492
LC,2025-11-26,日盘,short,2025-11-26 13:40:00,96280.0,97960.0,2025-11-26 14:55:00,96340.0,forced_close,1,1680.0,-79.26,-0.0793
PS,2025-11-26,日盘,short,2025-11-26 13:40:00,55390.0,55945.0,2025-11-26 14:00:00,55945.0,stop_loss,3,1665.0,-1698.4,-1.6984
LC,2025-11-27,日盘,short,2025-11-27 09:10:00,96840.0,97460.0,2025-11-27 10:00:00,97460.0,stop_loss,1,620.0,-639.43,-0.6394
PS,2025-11-27,日盘,long,2025-11-27 09:10:00,56295.0,56140.0,2025-11-27 09:15:00,56590.0,take_profit,3,465.0,851.13,0.8511
PS,2025-11-27,日盘,short,2025-11-27 13:40:00,55445.0,55560.0,2025-11-27 13:45:00,55560.0,stop_loss,3,345.0,-378.3,-0.3783
LC,2025-11-28,日盘,long,2025-11-28 09:10:00,96380.0,96000.0,2025-11-28 10:05:00,97080.0,take_profit,1,380.0,680.65,0.6807
PS,2025-11-28,日盘,long,2025-11-28 09:10:00,55640.0,55435.0,2025-11-28 09:55:00,56035.0,take_profit,3,615.0,1151.5,1.1515
LC,2025-11-28,日盘,long,2025-11-28 13:40:00,97100.0,96980.0,2025-11-28 13:45:00,96980.0,stop_loss,1,120.0,-139.41,-0.1394
PS,2025-11-28,日盘,long,2025-11-28 13:40:00,55805.0,55705.0,2025-11-28 13:45:00,55705.0,stop_loss,3,300.0,-333.45,-0.3335
LC,2025-12-02,日盘,long,2025-12-02 13:40:00,96540.0,96360.0,2025-12-02 13:45:00,96840.0,take_profit,1,180.0,280.66,0.2807
LC,2025-12-03,日盘,short,2025-12-03 13:40:00,94240.0,94940.0,2025-12-03 14:15:00,92900.0,take_profit,1,700.0,1321.29,1.3213
PS,2025-12-04,日盘,short,2025-12-04 13:40:00,56610.0,56790.0,2025-12-04 13:55:00,56790.0,stop_loss,3,540.0,-574.02,-0.574
PS,2025-12-05,日盘,short,2025-12-05 09:10:00,56395.0,56565.0,2025-12-05 09:40:00,56070.0,take_profit,3,510.0,941.26,0.9413
PS,2025-12-08,日盘,short,2025-12-08 13:40:00,53920.0,53955.0,2025-12-08 13:45:00,53955.0,stop_loss,3,105.0,-137.36,-0.1374
LC,2025-12-10,日盘,short,2025-12-10 09:10:00,93720.0,93920.0,2025-12-10 09:15:00,93920.0,stop_loss,1,200.0,-218.76,-0.2188
PS,2025-12-10,日盘,short,2025-12-10 09:10:00,56465.0,56670.0,2025-12-10 09:25:00,56070.0,take_profit,3,615.0,1151.24,1.1512
LC,2025-12-10,日盘,long,2025-12-10 13:40:00,95580.0,95360.0,2025-12-10 13:50:00,95360.0,stop_loss,1,220.0,-239.09,-0.2391
PS,2025-12-10,日盘,long,2025-12-10 13:40:00,55915.0,55825.0,2025-12-10 13:45:00,55825.0,stop_loss,3,270.0,-303.52,-0.3035
LC,2025-12-11,日盘,long,2025-12-11 09:10:00,96460.0,95940.0,2025-12-11 09:30:00,97440.0,take_profit,1,520.0,960.61,0.9606
LC,2025-12-12,日盘,long,2025-12-12 09:10:00,100440.0,99900.0,2025-12-12 09:35:00,101460.0,take_profit,1,540.0,999.81,0.9998
PS,2025-12-15,日盘,long,2025-12-15 09:10:00,56960.0,56610.0,2025-12-15 09:55:00,57645.0,take_profit,3,1050.0,2020.62,2.0206
PS,2025-12-16,日盘,long,2025-12-16 09:10:00,59755.0,59300.0,2025-12-16 09:15:00,59300.0,stop_loss,3,1365.0,-1400.72,-1.4007
LC,2025-12-16,日盘,long,2025-12-16 13:40:00,101340.0,101020.0,2025-12-16 14:10:00,101020.0,stop_loss,1,320.0,-340.24,-0.3402
PS,2025-12-16,日盘,short,2025-12-16 13:40:00,58775.0,58850.0,2025-12-16 13:45:00,58640.0,take_profit,3,225.0,369.78,0.3698
LC,2025-12-17,日盘,long,2025-12-17 09:10:00,104860.0,104140.0,2025-12-17 09:30:00,106240.0,take_profit,1,720.0,1358.89,1.3589
PS,2025-12-17,日盘,long,2025-12-17 09:10:00,59930.0,59365.0,2025-12-17 09:45:00,61045.0,take_profit,3,1695.0,3308.71,3.3087
